#! FIELDS time cv2 metad.bias metad.work
#! SET min_cv2 -pi
#! SET max_cv2 pi
 247.000000 -2.276121 3.836826 12.299923
 248.000000 -1.847244 9.233864 12.349923
 249.000000 -1.727888 9.944674 12.399922
 250.000000 -2.199250 4.905346 12.449922
 251.000000 -1.577852 9.770958 12.499921
 252.000000 -1.611793 9.981035 12.549921
 253.000000 -1.442613 8.698338 12.599921
 254.000000 -1.963375 8.220359 12.649920
 255.000000 -1.991772 7.906248 12.699920
 256.000000 -2.371800 2.972221 12.749919
 257.000000 -1.993566 7.960567 12.799919
 258.000000 -1.937609 8.705656 12.849919
 259.000000 -2.259755 4.384332 12.899919
 260.000000 -2.397712 2.855533 12.949918
 261.000000 -1.972823 8.386562 12.999917
 262.000000 -2.318301 3.795204 13.049917
 263.000000 -2.085500 6.959084 13.099917
 264.000000 -2.450153 2.510639 13.149917
 265.000000 -2.154129 6.077200 13.199917
 266.000000 -2.064491 7.377904 13.249917
 267.000000 -1.756972 10.402795 13.299916
 268.000000 -2.134684 6.476089 13.349916
 269.000000 -1.884535 9.668173 13.399915
 270.000000 -2.128894 6.647060 13.449915
 271.000000 -2.151056 6.382374 13.499915
 272.000000 -2.299731 4.414152 13.549914
 273.000000 -2.565697 1.829187 13.599914
 274.000000 -2.388997 3.458621 13.649914
 275.000000 -2.249721 5.193016 13.699914
 276.000000 -2.190742 6.040379 13.749913
 277.000000 -2.245542 5.347709 13.799913
 278.000000 -2.362317 3.943107 13.849913
 279.000000 -2.338375 4.273255 13.899912
 280.000000 -2.032385 8.366065 13.949912
 281.000000 -2.069164 7.936159 13.999912
 282.000000 -2.240221 5.649950 14.049911
 283.000000 -2.321027 4.655203 14.099911
 284.000000 -2.164397 6.779137 14.149911
 285.000000 -2.208997 6.219041 14.199911
 286.000000 -2.552208 2.371791 14.249910
 287.000000 -2.071264 8.155442 14.299910
 288.000000 -2.318654 4.906577 14.349909
 289.000000 -2.025770 8.816930 14.399909
 290.000000 -2.241518 5.998197 14.449909
 291.000000 -1.970833 9.537502 14.499909
 292.000000 -2.049899 8.659265 14.549909
 293.000000 -1.991521 9.408754 14.599908
 294.000000 -1.810990 10.916315 14.649907
 295.000000 -2.339850 4.886271 14.699907
 296.000000 -2.091327 8.296823 14.749907
 297.000000 -1.829083 10.937368 14.799907
 298.000000 -1.942897 10.138398 14.849906
 299.000000 -2.078697 8.598381 14.899906
 300.000000 -2.163414 7.486906 14.949906
 301.000000 -2.508617 3.129388 14.999906
 302.000000 -2.091118 8.556558 15.049906
 303.000000 -2.225875 6.739497 15.099906
 304.000000 -1.999479 9.784359 15.149906
 305.000000 -2.062501 9.074276 15.199905
 306.000000 -2.019771 9.649978 15.249905
 307.000000 -2.195846 7.344637 15.299905
 308.000000 -2.246726 6.670211 15.349904
 309.000000 -2.027198 9.697307 15.399904
 310.000000 -2.143305 8.231434 15.449904
 311.000000 -2.205261 7.403338 15.499903
 312.000000 -1.951340 10.640933 15.549903
 313.000000 -2.097254 9.003898 15.599903
 314.000000 -2.417573 4.579025 15.649903
 315.000000 -2.208930 7.528294 15.699902
 316.000000 -2.389715 5.034160 15.749902
 317.000000 -2.203806 7.695366 15.799901
 318.000000 -2.385086 5.189319 15.849901
 319.000000 -2.139546 8.688294 15.899901
 320.000000 -2.356440 5.668487 15.949900
 321.000000 -2.370074 5.531605 15.999900
 322.000000 -2.115416 9.141663 16.049900
 323.000000 -2.296435 6.652720 16.099899
 324.000000 -1.908734 11.372577 16.149899
 325.000000 -2.367264 5.728735 16.199899
 326.000000 -2.304070 6.669607 16.249899
 327.000000 -2.097305 9.591697 16.299899
 328.000000 -2.260570 7.387963 16.349899
 329.000000 -2.051513 10.239020 16.399898
 330.000000 -1.670254 11.720529 16.449898
 331.000000 -1.932614 11.463675 16.499897
 332.000000 -2.398978 5.530505 16.549897
 333.000000 -2.203468 8.395837 16.599897
 334.000000 -2.167977 8.946099 16.649896
 335.000000 -1.839421 12.087463 16.699896
 336.000000 -1.761852 12.209429 16.749895
 337.000000 -2.171099 9.009826 16.799895
 338.000000 -1.956312 11.560471 16.849895
 339.000000 -2.260439 7.794923 16.899895
 340.000000 -1.960541 11.610008 16.949894
 341.000000 -2.061971 10.627488 16.999894
 342.000000 -2.020257 11.144978 17.049894
 343.000000 -2.179903 9.158040 17.099894
 344.000000 -1.949696 11.884357 17.149893
 345.000000 -1.661898 12.096858 17.199893
 346.000000 -1.499267 10.436095 17.249893
 347.000000 -1.531807 10.912238 17.299893
 348.000000 -1.508506 10.660559 17.349893
 349.000000 -2.374120 6.324740 17.399892
 350.000000 -2.082799 10.667920 17.449892
 351.000000 -2.236362 8.532367 17.499892
 352.000000 -2.269190 8.077039 17.549892
 353.000000 -2.149096 9.920974 17.599891
 354.000000 -2.207033 9.125608 17.649891
 355.000000 -2.539635 4.207590 17.699890
 356.000000 -2.379673 6.549141 17.749890
 357.000000 -2.335749 7.276191 17.799890
 358.000000 -2.039633 11.496226 17.849889
 359.000000 -2.294044 8.011577 17.899889
 360.000000 -2.466061 5.428969 17.949889
 361.000000 -2.144732 10.317209 17.999888
 362.000000 -2.464777 5.530568 18.049888
 363.000000 -2.268208 8.594841 18.099887
 364.000000 -2.640216 3.302648 18.149887
 365.000000 -2.423501 6.281749 18.199887
 366.000000 -2.733166 2.422442 18.249886
 367.000000 -2.601015 3.908944 18.299886
 368.000000 -2.329980 7.831131 18.349886
 369.000000 -2.239239 9.251853 18.399885
 370.000000 -2.407307 6.746005 18.449885
 371.000000 -2.257916 9.070123 18.499884
 372.000000 -2.472179 5.870060 18.549884
 373.000000 -2.368139 7.488777 18.599883
 374.000000 -2.405871 6.962322 18.649883
 375.000000 -2.284012 8.867210 18.699883
 376.000000 -2.521825 5.339032 18.749882
 377.000000 -2.427153 6.783775 18.799882
 378.000000 -2.315882 8.525704 18.849882
 379.000000 -2.504794 5.724940 18.899882
 380.000000 -2.109310 11.430032 18.949882
 381.000000 -1.978721 12.699604 18.999881
 382.000000 -2.278913 9.247860 19.049881
 383.000000 -2.449379 6.690852 19.099880
 384.000000 -2.537852 5.425090 19.149880
 385.000000 -2.278844 9.381317 19.199880
 386.000000 -2.405806 7.502516 19.249879
 387.000000 -2.577616 4.992802 19.299879
 388.000000 -2.411814 7.504666 19.349878
 389.000000 -1.998439 12.777332 19.399878
 390.000000 -1.992447 12.869750 19.449877
 391.000000 -2.636780 4.304925 19.499877
 392.000000 -2.420057 7.517453 19.549876
 393.000000 -1.921899 13.331057 19.599876
 394.000000 -2.232623 10.397833 19.649875
 395.000000 -2.055725 12.534695 19.699875
 396.000000 -2.552903 5.622612 19.749875
 397.000000 -2.473554 6.873084 19.799874
 398.000000 -2.522169 6.180323 19.849874
 399.000000 -2.452208 7.302748 19.899873
 400.000000 -2.391339 8.296837 19.949873
 401.000000 -2.766335 3.059652 19.999873
 402.000000 -2.221333 10.853110 20.049872
 403.000000 -2.204104 11.129418 20.099872
 404.000000 -2.404263 8.262044 20.149872
 405.000000 -2.402120 8.345363 20.199871
 406.000000 -1.802591 13.680561 20.249870
 407.000000 -2.371650 8.879936 20.299870
 408.000000 -2.280607 10.291715 20.349870
 409.000000 -2.062895 12.915374 20.399870
 410.000000 -2.326704 9.701744 20.449869
 411.000000 -2.570018 5.942029 20.499869
 412.000000 -2.556813 6.194001 20.549868
 413.000000 -2.220138 11.330259 20.599868
 414.000000 -2.113725 12.616144 20.649868
 415.000000 -2.510223 7.030238 20.699867
 416.000000 -2.086654 12.950264 20.749867
 417.000000 -2.149888 12.360447 20.799867
 418.000000 -2.200574 11.809508 20.849867
 419.000000 -2.254829 11.141510 20.899866
 420.000000 -2.120922 12.814638 20.949866
 421.000000 -1.866630 14.166394 20.999865
 422.000000 -2.332922 10.110831 21.049865
 423.000000 -2.396891 9.146306 21.099864
 424.000000 -2.237384 11.599076 21.149864
 425.000000 -2.244079 11.558117 21.199864
 426.000000 -2.200378 12.180406 21.249864
 427.000000 -2.333285 10.347479 21.299863
 428.000000 -2.235188 11.826467 21.349862
 429.000000 -2.244491 11.750484 21.399862
 430.000000 -2.044669 13.894512 21.449862
 431.000000 -2.188658 12.565614 21.499862
 432.000000 -2.424374 9.079242 21.549861
 433.000000 -2.432932 8.984178 21.599861
 434.000000 -2.401076 9.570946 21.649861
 435.000000 -2.366487 10.190933 21.699860
