#! FIELDS time cv2 metad.bias metad.work
#! SET min_cv2 -pi
#! SET max_cv2 pi
 218.000000 -1.914040 8.404210 10.849935
 219.000000 -2.033296 7.734488 10.899934
 220.000000 -2.167621 6.466196 10.949934
 221.000000 -2.093153 7.297707 10.999934
 222.000000 -1.867960 8.704788 11.049934
 223.000000 -2.098358 7.337104 11.099934
 224.000000 -2.326852 4.744968 11.149934
 225.000000 -1.889179 8.774811 11.199933
 226.000000 -1.958006 8.558896 11.249933
 227.000000 -2.193111 6.476748 11.299933
 228.000000 -2.416900 3.818882 11.349933
 229.000000 -1.850794 8.977347 11.399932
 230.000000 -2.303760 5.246662 11.449932
 231.000000 -2.200181 6.562796 11.499932
 232.000000 -2.122475 7.481778 11.549931
 233.000000 -2.077215 7.976426 11.599930
 234.000000 -2.397294 4.270977 11.649930
 235.000000 -1.892768 9.126167 11.699930
 236.000000 -2.300597 5.542045 11.749930
 237.000000 -1.880077 9.222468 11.799930
 238.000000 -1.392639 5.557110 11.849930
 239.000000 -1.676997 8.675585 11.899929
 240.000000 -2.112129 7.877381 11.949929
 241.000000 -2.130233 7.736961 11.999929
 242.000000 -2.479032 3.511802 12.049929
 243.000000 -2.164422 7.439661 12.099928
 244.000000 -2.565235 2.683223 12.149928
 245.000000 -2.134040 7.849870 12.199928
 246.000000 -1.943540 9.345762 12.249927
 247.000000 -1.797531 9.487322 12.299927
 248.000000 -2.332837 5.515971 12.349926
 249.000000 -1.906415 9.582398 12.399926
 250.000000 -1.863873 9.685443 12.449925
 251.000000 -1.663973 8.887322 12.499925
 252.000000 -1.282196 4.348311 12.549925
 253.000000 -1.855406 9.792068 12.599924
 254.000000 -1.769683 9.668386 12.649924
 255.000000 -1.903383 9.834569 12.699923
 256.000000 -2.636182 2.179476 12.749923
 257.000000 -2.024522 9.282087 12.799922
 258.000000 -2.152099 8.082312 12.849922
 259.000000 -1.642790 8.954086 12.899922
 260.000000 -1.844432 10.061258 12.949922
 261.000000 -1.868324 10.112339 12.999921
 262.000000 -2.430789 4.525297 13.049921
 263.000000 -2.069982 9.132407 13.099921
 264.000000 -2.377058 5.316726 13.149920
 265.000000 -2.637394 2.351508 13.199920
 266.000000 -2.201929 7.755215 13.249920
 267.000000 -2.582247 2.958902 13.299919
 268.000000 -2.690180 2.023694 13.349919
 269.000000 -2.155601 8.412318 13.399918
 270.000000 -2.253230 7.237498 13.449918
 271.000000 -2.193009 8.061998 13.499918
 272.000000 -2.482029 4.288486 13.549917
 273.000000 -1.895496 10.373663 13.599917
 274.000000 -2.309914 6.640535 13.649917
 275.000000 -2.397908 5.490119 13.699917
 276.000000 -2.415989 5.298145 13.749916
 277.000000 -2.695596 2.229996 13.799915
 278.000000 -2.560704 3.603109 13.849915
 279.000000 -2.423681 5.329342 13.899914
 280.000000 -2.533478 4.010960 13.949914
 281.000000 -2.623204 3.084028 13.999914
 282.000000 -2.642352 2.945032 14.049913
 283.000000 -2.458793 5.062441 14.099913
 284.000000 -2.038922 9.983863 14.149913
 285.000000 -2.450161 5.246570 14.199912
 286.000000 -2.419550 5.691179 14.249912
 287.000000 -2.642033 3.136917 14.299912
 288.000000 -2.355925 6.612999 14.349912
 289.000000 -2.733515 2.382008 14.399911
 290.000000 -2.283749 7.622769 14.449911
 291.000000 -2.819415 1.799206 14.499911
 292.000000 -2.764732 2.249421 14.549910
 293.000000 -2.580392 4.038055 14.599910
 294.000000 -2.928759 1.278351 14.649910
 295.000000 -2.843478 1.824516 14.699910
 296.000000 -2.709680 2.890796 14.749909
 297.000000 -2.888467 1.642358 14.799909
 298.000000 -2.905967 1.591756 14.849908
 299.000000 -2.816461 2.201202 14.899908
 300.000000 -2.879345 1.845555 14.949907
 301.000000 -2.956641 1.470497 14.999907
 302.000000 -2.881808 1.929650 15.049906
 303.000000 -2.756557 2.828224 15.099906
 304.000000 -3.088551 1.029630 15.149905
 305.000000 -2.713400 3.249735 15.199905
 306.000000 -2.758391 2.945824 15.249905
 307.000000 -1.982343 10.536201 15.299904
 308.000000 -2.543373 4.951515 15.349904
 309.000000 -2.545139 4.982898 15.399903
 310.000000 -2.609408 4.382021 15.449903
 311.000000 -2.529619 5.246395 15.499902
 312.000000 -2.536569 5.222462 15.549902
